stop_id,stop_name,stop_lat,stop_lon
s0323,Sareni,45.482705,26.616180
s0324,Satu Nou,44.881458,26.687277
s0325,Scorţeanca,45.098674,26.689339
s0326,Scorţoasa,45.366801,26.663670
s0327,Scutelnici,44.918215,26.986168
s0328,Scărişoara,45.221451,26.392053
s0329,Scărlăteşti,45.254901,26.761113
s0330,Sg. Ionel Ștefan*,45.254901,26.761113
s0331,Sibiciu de Jos,45.318179,26.377212
s0332,Sibiciu de Sus,45.340224,26.357491
s0333,Sibiciu de Sus Cămin,45.342760,26.360867
s0334,Smeeni,44.996580,26.859047
s0335,Smărdan,44.996580,26.859047
s0336,Soreşti 1,45.376488,26.889990
s0337,Soreşti 2,45.376488,26.889990
s0338,Spătaru Gomoiești Ramificație,45.087281,26.776995
s0339,Spătaru Școală,45.092306,26.778792
s0340,Sudiţi Aliceni,45.080220,26.937358
s0341,Sudiți,45.021137,26.807697
s0342,Sârbeşti,45.476850,26.703154
s0343,Săhăteni 1,45.033972,26.519526
s0344,Săhăteni 2,45.042312,26.512655
s0345,Sălcioara,44.992338,26.870922
s0346,Sălcioara Centru,45.308941,27.175297
s0347,Sălcioara Dispensar,45.305360,27.178003
s0348,Sălcioara Pod,45.311807,27.170973
s0349,Săpoca Pod,45.249770,26.755621
s0350,Săpoca Poliţie,45.234514,26.744587
s0351,Sărata,45.060348,26.605583
s0352,Sările,45.533037,26.750676
s0353,Sările ramificaţie,45.501914,26.749923
s0354,Săruleşti,45.484375,26.766128
s0355,Sătuc,45.279566,26.667876
s0356,Tainița,45.255991,26.361111
s0357,Tega,45.276149,26.377030
s0358,Toca,45.255391,26.280393
s0359,Topliceni 1 Primărie,45.477162,26.699809
s0360,Topliceni 2,45.472397,26.721829
s0361,Topliceni 3,45.462338,26.744325
s0362,Trestia 1,45.327759,26.515283
s0363,Trestia 2,45.327759,26.515283
s0364,Trestioara,45.482941,26.596500
s0365,Tronari Ramificație,45.227471,26.437878
s0366,Ulmeni,45.081659,26.638682
s0367,Ulmeni Gară,45.081538,26.651517
s0368,Unguriu 1,45.281078,26.634128
s0369,Unguriu 2,45.279414,26.616226
s0370,Vadu Soreşti 1,45.314735,26.876305
s0371,Vadu Soreşti 2,45.320886,26.867753
s0372,Valea Fântânii,45.397313,26.508413
s0373,Valea Largă,45.413987,26.894278
s0374,Valea Lupului,45.350996,26.345463
s0375,Valea Nucului 1,45.366068,27.037399
s0376,Valea Nucului 2,45.366068,27.037399
s0377,Valea Puţului,45.251256,26.758341
s0378,Valea Părului,45.366271,26.774685
s0379,Valea Rîmnicului,45.366068,27.037399
s0380,Valea Salciei,45.413987,26.894278
s0381,Valea Seacă,45.277127,26.358407
s0382,Valea Verzii,45.393555,26.633836
s0383,Varlaam,45.508901,26.441544
s0384,Vascu,45.457012,26.368004
s0385,Verneşti ( Troita),45.203177,26.734144
s0386,Verneşti Ginar,45.203842,26.728931
s0387,Vilcele,45.082824,26.648366
s0388,Vintileanca,44.981547,26.578996
s0389,Vintilă Vodă magazin COOP,45.465171,26.733920
s0390,Vintilă Vodă ocol,45.471322,26.723184
s0391,Vintilă Vodă ramificaţie,45.463574,26.745062
s0392,Vintilă Vodă spital,45.458411,26.741643
s0393,Viperești,45.227693,26.463412
s0394,Vispesti,45.097283,26.520236
s0395,Vizireni*,45.047643,27.196018
s0396,Vâlcelele,45.340312,27.354987
s0397,Văcăreasca,44.881458,26.687277
s0398,Văleanca Vilănești,45.092016,26.506291
s0399,Zaharești,45.297936,26.375827
s0400,Ziduri,45.285419,27.077399
s0401,Zilişteanca,45.249348,26.869702
s0402,Zoița,45.286751,27.022956
s0403,Zărneşti,45.297794,26.870929
s0404,Zărneşti Slănic,45.278795,26.753351
s0405,Zărneşti de Slănic,45.278795,26.753351
s0406,Şaranga magazin Paul,45.096207,26.613695
s0407,Şarânga Magazin Zaplaic,45.093861,26.609160
s0408,Şarânga Școală,45.091944,26.612245
s0409,Șuchea,45.410635,26.586082
